序号,经度,纬度
1,120.06717012,30.32088536
2,120.06897262,30.32092579
3,120.06897370,30.32088948
4,120.06717120,30.32084905
5,120.06717228,30.32081274
6,120.06897478,30.32085318
7,120.06897587,30.32081687
8,120.06717336,30.32077644
9,120.06717445,30.32074013
10,120.06897695,30.32078057
11,120.06897803,30.32074426
12,120.06717553,30.32070383
13,120.06717661,30.32066752
14,120.06897911,30.32070795
15,120.06898019,30.32067165
16,120.06717769,30.32063121
17,120.06717878,30.32059491
18,120.06898127,30.32063534
19,120.06898236,30.32059903
20,120.06717986,30.32055860
21,120.06718094,30.32052229
22,120.06898344,30.32056273
23,120.06898452,30.32052642
24,120.06718202,30.32048599
25,120.06718311,30.32044968
26,120.06898560,30.32049011
27,120.06898668,30.32045381
28,120.06718419,30.32041337
29,120.06718527,30.32037707
30,120.06898777,30.32041750
31,120.06898885,30.32038119
32,120.06718635,30.32034076
33,120.06718744,30.32030446
34,120.06898993,30.32034489
35,120.06899101,30.32030858
36,120.06718852,30.32026815
37,120.06718960,30.32023184
38,120.06899209,30.32027228
39,120.06899317,30.32023597
40,120.06719068,30.32019554
41,120.06719177,30.32015923
42,120.06899426,30.32019966
43,120.06899534,30.32016336
44,120.06719285,30.32012292
45,120.06719393,30.32008662
46,120.06899642,30.32012705
47,120.06899750,30.32009074
48,120.06719501,30.32005031
