序号,经度,纬度,航向角(度)
1,120.06717012,30.32088536,88.51
2,120.06897262,30.32092579,178.53
3,120.06897370,30.32088948,268.51
4,120.06717120,30.32084905,178.53
5,120.06717228,30.32081274,88.51
6,120.06897478,30.32085318,178.53
7,120.06897587,30.32081687,268.51
8,120.06717336,30.32077644,178.53
9,120.06717445,30.32074013,88.51
10,120.06897695,30.32078057,178.53
11,120.06897803,30.32074426,268.51
12,120.06717553,30.32070383,178.53
13,120.06717661,30.32066752,88.51
14,120.06897911,30.32070795,178.53
15,120.06898019,30.32067165,268.51
16,120.06717769,30.32063121,178.53
17,120.06717878,30.32059491,88.51
18,120.06898127,30.32063534,178.53
19,120.06898236,30.32059903,268.51
20,120.06717986,30.32055860,178.53
21,120.06718094,30.32052229,88.51
22,120.06898344,30.32056273,178.53
23,120.06898452,30.32052642,268.51
24,120.06718202,30.32048599,178.53
25,120.06718311,30.32044968,88.51
26,120.06898560,30.32049011,178.53
27,120.06898668,30.32045381,268.51
28,120.06718419,30.32041337,178.53
29,120.06718527,30.32037707,88.51
30,120.06898777,30.32041750,178.53
31,120.06898885,30.32038119,268.51
32,120.06718635,30.32034076,178.53
33,120.06718744,30.32030446,88.51
34,120.06898993,30.32034489,178.53
35,120.06899101,30.32030858,268.51
36,120.06718852,30.32026815,178.53
37,120.06718960,30.32023184,88.51
38,120.06899209,30.32027228,178.53
39,120.06899317,30.32023597,268.51
40,120.06719068,30.32019554,178.53
41,120.06719177,30.32015923,88.51
42,120.06899426,30.32019966,178.53
43,120.06899534,30.32016336,268.51
44,120.06719285,30.32012292,178.53
45,120.06719393,30.32008662,88.51
46,120.06899642,30.32012705,178.53
47,120.06899750,30.32009074,268.51
48,120.06719501,30.32005031,268.51
