序号,经度,纬度,航向角(度)
1,120.07123770,30.32130866,178.53
2,120.07124797,30.32096381,88.51
3,120.07126999,30.32096431,358.53
4,120.07125972,30.32130915,88.51
5,120.07128175,30.32130964,178.53
6,120.07129201,30.32096480,88.51
7,120.07131404,30.32096529,358.53
8,120.07130377,30.32131014,88.51
9,120.07132579,30.32131063,178.53
10,120.07133606,30.32096579,88.51
11,120.07135808,30.32096628,358.53
12,120.07134782,30.32131112,88.51
13,120.07136984,30.32131162,178.53
14,120.07138011,30.32096677,88.51
15,120.07140213,30.32096727,358.53
16,120.07139186,30.32131211,88.51`
17,120.07141388,30.32131260,178.53
18,120.07142415,30.32096776,88.51
19,120.07144617,30.32096825,358.53
20,120.07143591,30.32131310,88.51
21,120.07145793,30.32131359,178.53
22,120.07146820,30.32096875,88.51
23,120.07149022,30.32096924,358.53
24,120.07147995,30.32131408,88.51
25,120.07150198,30.32131458,178.53
26,120.07151224,30.32096973,178.53
