序号,经度,纬度,航向角(度)
1,120.07102944,30.32099362,178.53
2,120.07103774,30.32071487,88.51
3,120.07106131,30.32071540,358.53
4,120.07105301,30.32099415,88.51
5,120.07107657,30.32099468,178.53
6,120.07108487,30.32071593,88.51
7,120.07110844,30.32071646,358.53
8,120.07110014,30.32099521,88.51
9,120.07112370,30.32099573,178.53
10,120.07113200,30.32071698,88.51
11,120.07115556,30.32071751,358.53
12,120.07114726,30.32099626,88.51
13,120.07117083,30.32099679,178.53
14,120.07117913,30.32071804,88.51
15,120.07120269,30.32071857,358.53
16,120.07119439,30.32099732,358.53
